Review_ID,Product_Name,Rating,Review_Summary,Review_Text,User_Name,Review_Date,Helpful_Count
REV_10001,iPhone 15,5,Great product 0!,Detailed review description for item 0 with some long feedback text...,Anonymous User,,34 people found this helpful
REV_10002,iPhone 15,5,Worst experience 1,Detailed review description for item 1 with some long feedback text...,User_1,2024-008-24,31 people found this helpful
REV_10003,BoAt Airdopes 141,4,Great product 2!,Detailed review description for item 2 with some long feedback text...,User_2,2024-008-18,35 people found this helpful
REV_10004,Samsung Galaxy S23,3,Worst experience 3,Detailed review description for item 3 with some long feedback text...,User_3,2024-004-06,12 people found this helpful
REV_10005,BoAt Airdopes 141,4,Great product 4!,Detailed review description for item 4 with some long feedback text...,User_4,2024-004-27,5 people found this helpful
REV_10006,Realme Narzo 60,5,Worst experience 5,Detailed review description for item 5 with some long feedback text...,Anonymous User,2024-001-15,13 people found this helpful
REV_10007,iPhone 15,4,Great product 6!,Detailed review description for item 6 with some long feedback text...,User_6,2024-008-24,36 people found this helpful
REV_10008,Redmi Note 13,4,Worst experience 7,Detailed review description for item 7 with some long feedback text...,User_7,2024-004-24,47 people found this helpful
REV_10009,iPhone 15,5,Great product 8!,Detailed review description for item 8 with some long feedback text...,User_8,,14 people found this helpful
REV_10010,Redmi Note 13,4,Worst experience 9,Detailed review description for item 9 with some long feedback text...,User_9,2024-007-14,46 people found this helpful
REV_10011,BoAt Airdopes 141,5,Great product 10!,Detailed review description for item 10 with some long feedback text...,Anonymous User,2024-005-25,3 people found this helpful
REV_10012,BoAt Airdopes 141,4,Worst experience 11,Detailed review description for item 11 with some long feedback text...,User_11,2024-007-02,39 people found this helpful
REV_10013,Samsung Galaxy S23,4,Great product 12!,Detailed review description for item 12 with some long feedback text...,User_12,2024-003-26,15 people found this helpful
REV_10014,iPhone 15,4,Worst experience 13,Detailed review description for item 13 with some long feedback text...,User_13,2024-008-22,27 people found this helpful
REV_10015,OnePlus Nord CE3,5,Great product 14!,Detailed review description for item 14 with some long feedback text...,User_14,2024-002-09,15 people found this helpful
REV_10016,BoAt Airdopes 141,2,Worst experience 15,Detailed review description for item 15 with some long feedback text...,Anonymous User,2024-002-20,3 people found this helpful
REV_10017,BoAt Airdopes 141,3,Great product 16!,Detailed review description for item 16 with some long feedback text...,User_16,,44 people found this helpful
REV_10018,Samsung Galaxy S23,5,Worst experience 17,Detailed review description for item 17 with some long feedback text...,User_17,2024-008-08,25 people found this helpful
REV_10019,Redmi Note 13,3,Great product 18!,Detailed review description for item 18 with some long feedback text...,User_18,2024-002-19,27 people found this helpful
REV_10020,Samsung Galaxy S23,4,Worst experience 19,Detailed review description for item 19 with some long feedback text...,User_19,2024-003-24,31 people found this helpful
REV_10021,iPhone 15,4,Great product 20!,Detailed review description for item 20 with some long feedback text...,Anonymous User,2024-005-03,44 people found this helpful
REV_10022,Realme Narzo 60,4,Worst experience 21,Detailed review description for item 21 with some long feedback text...,User_21,2024-002-27,1 people found this helpful
REV_10023,Realme Narzo 60,5,Great product 22!,Detailed review description for item 22 with some long feedback text...,User_22,2024-008-17,30 people found this helpful
REV_10024,Redmi Note 13,3,Worst experience 23,Detailed review description for item 23 with some long feedback text...,User_23,2024-007-03,2 people found this helpful
REV_10025,BoAt Airdopes 141,4,Great product 24!,Detailed review description for item 24 with some long feedback text...,User_24,,7 people found this helpful
REV_10026,Redmi Note 13,4,Worst experience 25,Detailed review description for item 25 with some long feedback text...,Anonymous User,2024-004-09,23 people found this helpful
REV_10027,BoAt Airdopes 141,5,Great product 26!,Detailed review description for item 26 with some long feedback text...,User_26,2024-005-12,14 people found this helpful
REV_10028,BoAt Airdopes 141,2,Worst experience 27,Detailed review description for item 27 with some long feedback text...,User_27,2024-002-15,42 people found this helpful
REV_10029,Realme Narzo 60,4,Great product 28!,Detailed review description for item 28 with some long feedback text...,User_28,2024-002-23,30 people found this helpful
REV_10030,Redmi Note 13,3,Worst experience 29,Detailed review description for item 29 with some long feedback text...,User_29,2024-007-18,8 people found this helpful
REV_10031,Samsung Galaxy S23,4,Great product 30!,Detailed review description for item 30 with some long feedback text...,Anonymous User,2024-004-12,38 people found this helpful
REV_10032,BoAt Airdopes 141,3,Worst experience 31,Detailed review description for item 31 with some long feedback text...,User_31,2024-007-04,44 people found this helpful
REV_10033,OnePlus Nord CE3,3,Great product 32!,Detailed review description for item 32 with some long feedback text...,User_32,,1 people found this helpful
REV_10034,OnePlus Nord CE3,5,Worst experience 33,Detailed review description for item 33 with some long feedback text...,User_33,2024-007-16,7 people found this helpful
REV_10035,Samsung Galaxy S23,4,Great product 34!,Detailed review description for item 34 with some long feedback text...,User_34,2024-007-16,6 people found this helpful
REV_10036,OnePlus Nord CE3,5,Worst experience 35,Detailed review description for item 35 with some long feedback text...,Anonymous User,2024-001-22,43 people found this helpful
REV_10037,iPhone 15,5,Great product 36!,Detailed review description for item 36 with some long feedback text...,User_36,2024-001-02,38 people found this helpful
REV_10038,BoAt Airdopes 141,4,Worst experience 37,Detailed review description for item 37 with some long feedback text...,User_37,2024-006-03,41 people found this helpful
REV_10039,Samsung Galaxy S23,2,Great product 38!,Detailed review description for item 38 with some long feedback text...,User_38,2024-002-21,15 people found this helpful
REV_10040,Redmi Note 13,4,Worst experience 39,Detailed review description for item 39 with some long feedback text...,User_39,2024-001-20,34 people found this helpful
REV_10041,BoAt Airdopes 141,5,Great product 40!,Detailed review description for item 40 with some long feedback text...,Anonymous User,,29 people found this helpful
REV_10042,Samsung Galaxy S23,4,Worst experience 41,Detailed review description for item 41 with some long feedback text...,User_41,2024-001-20,9 people found this helpful
REV_10043,Realme Narzo 60,1,Great product 42!,Detailed review description for item 42 with some long feedback text...,User_42,2024-006-21,37 people found this helpful
REV_10044,Redmi Note 13,4,Worst experience 43,Detailed review description for item 43 with some long feedback text...,User_43,2024-006-01,17 people found this helpful
REV_10045,Realme Narzo 60,5,Great product 44!,Detailed review description for item 44 with some long feedback text...,User_44,2024-004-06,49 people found this helpful
REV_10046,BoAt Airdopes 141,5,Worst experience 45,Detailed review description for item 45 with some long feedback text...,Anonymous User,2024-005-15,4 people found this helpful
REV_10047,Redmi Note 13,3,Great product 46!,Detailed review description for item 46 with some long feedback text...,User_46,2024-002-26,28 people found this helpful
REV_10048,OnePlus Nord CE3,5,Worst experience 47,Detailed review description for item 47 with some long feedback text...,User_47,2024-006-20,38 people found this helpful
REV_10049,Samsung Galaxy S23,3,Great product 48!,Detailed review description for item 48 with some long feedback text...,User_48,,33 people found this helpful
REV_10050,BoAt Airdopes 141,3,Worst experience 49,Detailed review description for item 49 with some long feedback text...,User_49,2024-007-14,42 people found this helpful
REV_10051,iPhone 15,5,Great product 50!,Detailed review description for item 50 with some long feedback text...,Anonymous User,2024-001-21,44 people found this helpful
REV_10052,Redmi Note 13,3,Worst experience 51,Detailed review description for item 51 with some long feedback text...,User_51,2024-008-25,22 people found this helpful
REV_10053,Redmi Note 13,4,Great product 52!,Detailed review description for item 52 with some long feedback text...,User_52,2024-002-05,4 people found this helpful
REV_10054,BoAt Airdopes 141,1,Worst experience 53,Detailed review description for item 53 with some long feedback text...,User_53,2024-006-17,29 people found this helpful
REV_10055,BoAt Airdopes 141,5,Great product 54!,Detailed review description for item 54 with some long feedback text...,User_54,2024-003-16,5 people found this helpful
REV_10056,Realme Narzo 60,5,Worst experience 55,Detailed review description for item 55 with some long feedback text...,Anonymous User,2024-004-15,45 people found this helpful
REV_10057,OnePlus Nord CE3,5,Great product 56!,Detailed review description for item 56 with some long feedback text...,User_56,,43 people found this helpful
REV_10058,Realme Narzo 60,5,Worst experience 57,Detailed review description for item 57 with some long feedback text...,User_57,2024-007-04,3 people found this helpful
REV_10059,Realme Narzo 60,3,Great product 58!,Detailed review description for item 58 with some long feedback text...,User_58,2024-003-18,28 people found this helpful
REV_10060,OnePlus Nord CE3,4,Worst experience 59,Detailed review description for item 59 with some long feedback text...,User_59,2024-005-03,22 people found this helpful
REV_10061,iPhone 15,4,Great product 60!,Detailed review description for item 60 with some long feedback text...,Anonymous User,2024-006-08,5 people found this helpful
REV_10062,Realme Narzo 60,1,Worst experience 61,Detailed review description for item 61 with some long feedback text...,User_61,2024-007-03,31 people found this helpful
REV_10063,Realme Narzo 60,4,Great product 62!,Detailed review description for item 62 with some long feedback text...,User_62,2024-008-18,41 people found this helpful
REV_10064,Redmi Note 13,5,Worst experience 63,Detailed review description for item 63 with some long feedback text...,User_63,2024-002-25,17 people found this helpful
REV_10065,OnePlus Nord CE3,1,Great product 64!,Detailed review description for item 64 with some long feedback text...,User_64,,14 people found this helpful
REV_10066,Samsung Galaxy S23,4,Worst experience 65,Detailed review description for item 65 with some long feedback text...,Anonymous User,2024-004-17,39 people found this helpful
REV_10067,iPhone 15,3,Great product 66!,Detailed review description for item 66 with some long feedback text...,User_66,2024-008-23,31 people found this helpful
REV_10068,iPhone 15,3,Worst experience 67,Detailed review description for item 67 with some long feedback text...,User_67,2024-003-05,8 people found this helpful
REV_10069,OnePlus Nord CE3,5,Great product 68!,Detailed review description for item 68 with some long feedback text...,User_68,2024-002-13,36 people found this helpful
REV_10070,BoAt Airdopes 141,4,Worst experience 69,Detailed review description for item 69 with some long feedback text...,User_69,2024-005-23,9 people found this helpful
REV_10071,BoAt Airdopes 141,4,Great product 70!,Detailed review description for item 70 with some long feedback text...,Anonymous User,2024-005-24,19 people found this helpful
REV_10072,Redmi Note 13,5,Worst experience 71,Detailed review description for item 71 with some long feedback text...,User_71,2024-003-13,5 people found this helpful
REV_10073,Redmi Note 13,3,Great product 72!,Detailed review description for item 72 with some long feedback text...,User_72,,47 people found this helpful
REV_10074,OnePlus Nord CE3,4,Worst experience 73,Detailed review description for item 73 with some long feedback text...,User_73,2024-006-05,2 people found this helpful
REV_10075,Redmi Note 13,4,Great product 74!,Detailed review description for item 74 with some long feedback text...,User_74,2024-001-27,41 people found this helpful
REV_10076,iPhone 15,4,Worst experience 75,Detailed review description for item 75 with some long feedback text...,Anonymous User,2024-008-02,10 people found this helpful
REV_10077,iPhone 15,5,Great product 76!,Detailed review description for item 76 with some long feedback text...,User_76,2024-001-08,42 people found this helpful
REV_10078,Samsung Galaxy S23,5,Worst experience 77,Detailed review description for item 77 with some long feedback text...,User_77,2024-004-19,16 people found this helpful
REV_10079,BoAt Airdopes 141,4,Great product 78!,Detailed review description for item 78 with some long feedback text...,User_78,2024-006-11,31 people found this helpful
REV_10080,OnePlus Nord CE3,5,Worst experience 79,Detailed review description for item 79 with some long feedback text...,User_79,2024-004-12,3 people found this helpful
REV_10081,Realme Narzo 60,3,Great product 80!,Detailed review description for item 80 with some long feedback text...,Anonymous User,,3 people found this helpful
REV_10082,BoAt Airdopes 141,1,Worst experience 81,Detailed review description for item 81 with some long feedback text...,User_81,2024-004-07,16 people found this helpful
REV_10083,Realme Narzo 60,3,Great product 82!,Detailed review description for item 82 with some long feedback text...,User_82,2024-002-13,40 people found this helpful
REV_10084,Samsung Galaxy S23,4,Worst experience 83,Detailed review description for item 83 with some long feedback text...,User_83,2024-003-08,18 people found this helpful
REV_10085,Samsung Galaxy S23,4,Great product 84!,Detailed review description for item 84 with some long feedback text...,User_84,2024-007-22,4 people found this helpful
REV_10086,Redmi Note 13,5,Worst experience 85,Detailed review description for item 85 with some long feedback text...,Anonymous User,2024-004-26,31 people found this helpful
REV_10087,Samsung Galaxy S23,5,Great product 86!,Detailed review description for item 86 with some long feedback text...,User_86,2024-006-09,21 people found this helpful
REV_10088,Samsung Galaxy S23,4,Worst experience 87,Detailed review description for item 87 with some long feedback text...,User_87,2024-007-26,5 people found this helpful
REV_10089,Realme Narzo 60,4,Great product 88!,Detailed review description for item 88 with some long feedback text...,User_88,,34 people found this helpful
REV_10090,Redmi Note 13,1,Worst experience 89,Detailed review description for item 89 with some long feedback text...,User_89,2024-005-24,21 people found this helpful
REV_10091,Samsung Galaxy S23,1,Great product 90!,Detailed review description for item 90 with some long feedback text...,Anonymous User,2024-007-02,0 people found this helpful
REV_10092,BoAt Airdopes 141,4,Worst experience 91,Detailed review description for item 91 with some long feedback text...,User_91,2024-007-20,19 people found this helpful
REV_10093,Samsung Galaxy S23,4,Great product 92!,Detailed review description for item 92 with some long feedback text...,User_92,2024-001-12,21 people found this helpful
REV_10094,Redmi Note 13,5,Worst experience 93,Detailed review description for item 93 with some long feedback text...,User_93,2024-001-23,47 people found this helpful
REV_10095,OnePlus Nord CE3,3,Great product 94!,Detailed review description for item 94 with some long feedback text...,User_94,2024-006-08,10 people found this helpful
REV_10096,Redmi Note 13,1,Worst experience 95,Detailed review description for item 95 with some long feedback text...,Anonymous User,2024-005-15,12 people found this helpful
REV_10097,Realme Narzo 60,4,Great product 96!,Detailed review description for item 96 with some long feedback text...,User_96,,41 people found this helpful
REV_10098,OnePlus Nord CE3,3,Worst experience 97,Detailed review description for item 97 with some long feedback text...,User_97,2024-001-01,2 people found this helpful
REV_10099,BoAt Airdopes 141,1,Great product 98!,Detailed review description for item 98 with some long feedback text...,User_98,2024-001-10,8 people found this helpful
REV_10100,iPhone 15,5,Worst experience 99,Detailed review description for item 99 with some long feedback text...,User_99,2024-006-10,11 people found this helpful
REV_10101,Redmi Note 13,2,Great product 100!,Detailed review description for item 100 with some long feedback text...,Anonymous User,2024-005-15,22 people found this helpful
REV_10102,Realme Narzo 60,5,Worst experience 101,Detailed review description for item 101 with some long feedback text...,User_101,2024-001-22,13 people found this helpful
REV_10103,BoAt Airdopes 141,4,Great product 102!,Detailed review description for item 102 with some long feedback text...,User_102,2024-006-03,32 people found this helpful
REV_10104,OnePlus Nord CE3,3,Worst experience 103,Detailed review description for item 103 with some long feedback text...,User_103,2024-005-16,17 people found this helpful
REV_10105,BoAt Airdopes 141,4,Great product 104!,Detailed review description for item 104 with some long feedback text...,User_104,,48 people found this helpful
REV_10106,Redmi Note 13,5,Worst experience 105,Detailed review description for item 105 with some long feedback text...,Anonymous User,2024-008-15,40 people found this helpful
REV_10107,Samsung Galaxy S23,4,Great product 106!,Detailed review description for item 106 with some long feedback text...,User_106,2024-001-17,8 people found this helpful
REV_10108,Redmi Note 13,5,Worst experience 107,Detailed review description for item 107 with some long feedback text...,User_107,2024-006-26,22 people found this helpful
REV_10109,iPhone 15,2,Great product 108!,Detailed review description for item 108 with some long feedback text...,User_108,2024-005-17,9 people found this helpful
REV_10110,Redmi Note 13,5,Worst experience 109,Detailed review description for item 109 with some long feedback text...,User_109,2024-006-17,18 people found this helpful
REV_10111,OnePlus Nord CE3,3,Great product 110!,Detailed review description for item 110 with some long feedback text...,Anonymous User,2024-008-14,46 people found this helpful
REV_10112,OnePlus Nord CE3,5,Worst experience 111,Detailed review description for item 111 with some long feedback text...,User_111,2024-005-06,4 people found this helpful
REV_10113,Redmi Note 13,4,Great product 112!,Detailed review description for item 112 with some long feedback text...,User_112,,46 people found this helpful
REV_10114,OnePlus Nord CE3,5,Worst experience 113,Detailed review description for item 113 with some long feedback text...,User_113,2024-003-14,22 people found this helpful
REV_10115,Samsung Galaxy S23,4,Great product 114!,Detailed review description for item 114 with some long feedback text...,User_114,2024-006-15,29 people found this helpful
REV_10116,BoAt Airdopes 141,1,Worst experience 115,Detailed review description for item 115 with some long feedback text...,Anonymous User,2024-008-15,24 people found this helpful
REV_10117,Redmi Note 13,1,Great product 116!,Detailed review description for item 116 with some long feedback text...,User_116,2024-006-27,27 people found this helpful
REV_10118,Samsung Galaxy S23,5,Worst experience 117,Detailed review description for item 117 with some long feedback text...,User_117,2024-005-17,33 people found this helpful
REV_10119,BoAt Airdopes 141,4,Great product 118!,Detailed review description for item 118 with some long feedback text...,User_118,2024-007-21,44 people found this helpful
REV_10120,BoAt Airdopes 141,5,Worst experience 119,Detailed review description for item 119 with some long feedback text...,User_119,2024-008-03,47 people found this helpful
REV_10121,Samsung Galaxy S23,3,Great product 120!,Detailed review description for item 120 with some long feedback text...,Anonymous User,,46 people found this helpful
REV_10122,Realme Narzo 60,4,Worst experience 121,Detailed review description for item 121 with some long feedback text...,User_121,2024-004-06,24 people found this helpful
REV_10123,Redmi Note 13,1,Great product 122!,Detailed review description for item 122 with some long feedback text...,User_122,2024-005-22,9 people found this helpful
REV_10124,BoAt Airdopes 141,5,Worst experience 123,Detailed review description for item 123 with some long feedback text...,User_123,2024-002-17,13 people found this helpful
REV_10125,BoAt Airdopes 141,5,Great product 124!,Detailed review description for item 124 with some long feedback text...,User_124,2024-007-25,41 people found this helpful
REV_10126,OnePlus Nord CE3,5,Worst experience 125,Detailed review description for item 125 with some long feedback text...,Anonymous User,2024-002-26,45 people found this helpful
REV_10127,BoAt Airdopes 141,4,Great product 126!,Detailed review description for item 126 with some long feedback text...,User_126,2024-007-05,29 people found this helpful
