Restaurant_ID,Name,City,Locality,Aggregate_Rating,Votes,Average_Cost_for_Two,Cuisines,Has_Online_Delivery
DEL_1,Delhi_Resto_1,Delhi,Connaught Place,4.1,165,600,"North Indian, Mughlai",Yes
DEL_2,Delhi_Resto_2,Delhi,Rajouri Garden,4.3,391,1200,Continental,No
DEL_3,Delhi_Resto_3,Delhi,CP,3.8,1239,600,South Indian,No
DEL_4,Delhi_Resto_4,Delhi,Connaught Place,3.3,1709,600,"Chinese, Momos",Yes
DEL_5,Delhi_Resto_5,Delhi,Connaught Place,3.0,1637,600,Continental,Yes
DEL_6,Delhi_Resto_6,Delhi,CP,3.8,158,400,South Indian,No
DEL_7,Delhi_Resto_7,Delhi,Dwarka,3.9,1929,600,"Chinese, Momos",Yes
DEL_8,Delhi_Resto_8,Delhi,Connaught Place,3.3,1314,600,"North Indian, Mughlai",Yes
DEL_9,Delhi_Resto_9,Delhi,Rajouri Garden,4.2,544,400,South Indian,No
DEL_10,Delhi_Resto_10,Delhi,Saket,3.6,478,400,"Chinese, Momos",Yes
DEL_11,Delhi_Resto_11,Delhi,Connaught Place,3.0,1953,1200,"North Indian, Mughlai",Yes
DEL_12,Delhi_Resto_12,Delhi,Rajouri Garden,4.4,1157,400,Continental,Yes
DEL_13,Delhi_Resto_13,Delhi,Hauz Khas,4.4,1536,600,Continental,No
DEL_14,Delhi_Resto_14,Delhi,Rajouri Garden,2.8,1277,400,Continental,Yes
DEL_15,Delhi_Resto_15,Delhi,Saket,3.5,1885,1800,Continental,Yes
DEL_16,Delhi_Resto_16,Delhi,Rajouri Garden,3.5,903,400,"Street Food, Fast Food",Yes
DEL_17,Delhi_Resto_17,Delhi,CP,4.6,1919,600,South Indian,Yes
DEL_18,Delhi_Resto_18,Delhi,Saket,3.8,1544,1200,South Indian,Yes
DEL_19,Delhi_Resto_19,Delhi,Dwarka,3.1,502,1200,"Street Food, Fast Food",No
DEL_20,Delhi_Resto_20,Delhi,Hauz Khas,4.2,1063,400,"Chinese, Momos",Yes
DEL_21,Delhi_Resto_21,Delhi,CP,3.2,1458,1200,"Chinese, Momos",Yes
DEL_22,Delhi_Resto_22,Delhi,Dwarka,3.7,1949,600,Continental,No
DEL_23,Delhi_Resto_23,Delhi,Rajouri Garden,3.4,331,600,"North Indian, Mughlai",Yes
DEL_24,Delhi_Resto_24,Delhi,Saket,3.5,260,400,"Chinese, Momos",No
DEL_25,Delhi_Resto_25,Delhi,Hauz Khas,4.3,1784,400,"North Indian, Mughlai",Yes
DEL_26,Delhi_Resto_26,Delhi,CP,4.6,952,900,South Indian,Yes
DEL_27,Delhi_Resto_27,Delhi,Dwarka,3.2,1119,600,"North Indian, Mughlai",Yes
DEL_28,Delhi_Resto_28,Delhi,Dwarka,4.1,966,600,South Indian,No
DEL_29,Delhi_Resto_29,Delhi,Hauz Khas,3.4,141,900,"Street Food, Fast Food",Yes
DEL_30,Delhi_Resto_30,Delhi,Rajouri Garden,3.4,1066,900,"Street Food, Fast Food",Yes
DEL_31,Delhi_Resto_31,Delhi,Hauz Khas,4.0,1446,400,Continental,Yes
DEL_32,Delhi_Resto_32,Delhi,Dwarka,3.3,529,900,"Chinese, Momos",Yes
DEL_33,Delhi_Resto_33,Delhi,Connaught Place,4.0,961,400,Continental,Yes
DEL_34,Delhi_Resto_34,Delhi,CP,4.2,627,900,South Indian,No
DEL_35,Delhi_Resto_35,Delhi,Hauz Khas,3.6,263,900,Continental,Yes
DEL_36,Delhi_Resto_36,Delhi,Dwarka,4.5,631,1800,"North Indian, Mughlai",No
DEL_37,Delhi_Resto_37,Delhi,Rajouri Garden,3.2,343,400,South Indian,Yes
DEL_38,Delhi_Resto_38,Delhi,Dwarka,4.5,595,400,"Street Food, Fast Food",Yes
DEL_39,Delhi_Resto_39,Delhi,Rajouri Garden,2.8,1065,400,"Chinese, Momos",Yes
DEL_40,Delhi_Resto_40,Delhi,Hauz Khas,5.0,238,400,South Indian,Yes
DEL_41,Delhi_Resto_41,Delhi,Rajouri Garden,3.6,1067,400,South Indian,No
DEL_42,Delhi_Resto_42,Delhi,Saket,3.2,1686,1800,"North Indian, Mughlai",No
DEL_43,Delhi_Resto_43,Delhi,Saket,3.7,1471,400,"Chinese, Momos",Yes
DEL_44,Delhi_Resto_44,Delhi,Saket,3.3,1490,400,"Street Food, Fast Food",Yes
DEL_45,Delhi_Resto_45,Delhi,Connaught Place,4.0,1430,900,South Indian,Yes
DEL_46,Delhi_Resto_46,Delhi,Hauz Khas,4.5,1073,600,South Indian,No
